UserId,UserName,Date,Location,PostId,TagId,TagName
"2415684","jenesaisquoi","2017-01-05 16:32:46","Boston","28185497","4452","r"
"1085186","StackFlowed","2017-03-23 15:52:45","Boston","32720476","1067","homebrew"
"4400697","nmusleh","2017-08-06 21:04:17","Boston","45536057","114454","angular-controller"
"564157","Joseph Lust","2017-08-22 17:51:29","Boston","45548924","106095","codeship"
"2354978","ib4u","2017-05-11 19:14:54","Boston","43903122","121529","data-pipeline"
"2415684","jenesaisquoi","2017-12-12 20:16:10","Boston","6802420","4452","r"
"456564","German Attanasio","2017-10-30 19:45:04","Boston, Massachusetts","38568584","120420","watson-conversation"
"456564","German Attanasio","2017-10-23 15:00:32","Boston, Massachusetts","46892502","120420","watson-conversation"
"2415684","jenesaisquoi","2017-05-25 02:27:05","Boston","31931495","4452","r"
"741099","Nyxynyx","2017-12-28 21:39:10","Boston","46144735","114286","solidity"
"741099","Nyxynyx","2017-02-08 08:32:28","Boston","20861880","89401","meteorite"
"3148025","bradnoble","2017-02-03 18:37:44","Boston","42015025","62429","cloudant"
"741099","Nyxynyx","2017-05-23 14:21:50","Boston","6470267","5","php"
"3201696","ajmajmajma","2017-07-31 21:50:45","Boston","45420183","916","fonts"
"3054619","mrlindsey","2017-02-10 19:06:08","Boston","42165059","83679","poltergeist"
"2415684","jenesaisquoi","2017-03-04 21:45:54","Boston","42601445","4452","r"
"3798657","rubicks","2017-10-18 21:02:37","Boston","46806762","1066","continuous-integration"
"456564","German Attanasio","2017-05-11 16:15:14","Boston, Massachusetts","43464805","120420","watson-conversation"
"2415684","jenesaisquoi","2017-06-14 20:58:18","Boston","32301813","4452","r"
"2517719","Floegipoky","2017-08-24 00:33:37","Boston","34009064","105220","neovim"
"2415684","jenesaisquoi","2017-06-14 20:58:18","Boston","32301813","36606","ggplot2"
"741099","Nyxynyx","2017-11-21 10:34:49","Boston","9719302","5","php"
"741099","Nyxynyx","2017-08-05 22:12:41","Boston","45526778","30073","mongodb"
"456564","German Attanasio","2017-11-17 17:11:23","Boston, Massachusetts","47354439","63747","language-translation"
"2415684","jenesaisquoi","2017-12-14 14:01:00","Boston","36108705","4452","r"
"4400697","nmusleh","2017-03-17 19:08:26","Boston","42864577","8277","urllib2"
"2415684","jenesaisquoi","2017-07-08 21:43:54","Boston","34691188","4452","r"
"1443481","Stuart","2017-02-03 14:17:45","Boston","42013783","2888","tcp"
"741099","Nyxynyx","2017-06-14 00:01:13","Boston","44524095","102461","react-jsx"
"741099","Nyxynyx","2017-01-11 10:22:19","Boston","12112188","58","linux"
"6286412","MTL-VRN","2017-11-30 02:58:02","Boston","47564993","34056","treeset"
"1443481","Stuart","2017-02-03 14:17:45","Boston","42013783","4319","future"
"741099","Nyxynyx","2017-10-01 14:31:44","Boston","25898784","103380","onsen-ui"
"7179412","Nil","2017-10-22 14:29:41","Boston","46848235","4452","r"
"456564","German Attanasio","2017-04-03 01:41:57","Boston, Massachusetts","40391114","117721","google-knowledge-graph"
"2501624","aldel","2017-07-05 16:36:12","Boston","44917200","105839","slack-api"
"6687297","Philipp","2017-03-02 15:59:06","Boston, Massachusetts, USA","42559600","5971","skip"
"2285240","Ian Steffy","2017-07-31 11:43:27","Boston","45414074","78022","angularjs"
"741099","Nyxynyx","2017-01-11 02:02:46","Boston","39856084","93923","pulp"
"741099","Nyxynyx","2017-12-18 21:43:49","Boston","47876517","16","python"
"741099","Nyxynyx","2017-05-19 14:33:42","Boston","43708795","46426","node.js"
"741099","Nyxynyx","2017-06-14 00:01:13","Boston","44524095","111092","meteor-react"
"3201696","ajmajmajma","2017-04-11 18:13:06","Boston","34438540","113234","redux"
"1888954","Phillip Huff","2017-05-17 17:20:28","Boston","43983897","71227","emr"
"741099","Nyxynyx","2017-01-11 02:02:46","Boston","39856084","16","python"
"741099","Nyxynyx","2017-01-11 10:22:19","Boston","12112188","1603","tomcat"
"3201696","ajmajmajma","2017-04-11 18:13:06","Boston","34438540","77812","superagent"
"741099","Nyxynyx","2017-10-01 14:31:44","Boston","25898784","78331","cordova"
"4400697","nmusleh","2017-11-15 17:39:59","Boston","45130392","78022","angularjs"
"2285240","Ian Steffy","2017-07-28 13:24:41","Boston","45371831","78022","angularjs"
"741099","Nyxynyx","2017-05-09 09:16:17","Boston","42635809","97726","plotly"
"741099","Nyxynyx","2017-04-23 21:07:41","Boston","43574757","16","python"
"741099","Nyxynyx","2017-05-03 15:37:23","Boston","43743286","16","python"
"283296","Amelio Vazquez-Reina","2017-09-08 01:47:17","Boston","33657017","7979","matplotlib"
"741099","Nyxynyx","2017-04-23 21:07:41","Boston","43574757","1158","qt"
"741099","Nyxynyx","2017-05-09 09:16:17","Boston","42635809","111092","meteor-react"
"283296","Amelio Vazquez-Reina","2017-08-10 01:59:40","Boston","17977540","16","python"
"283296","Amelio Vazquez-Reina","2017-09-08 01:47:17","Boston","33657017","16","python"
"1335035","Magn3s1um","2017-10-19 15:36:36","Boston","46736978","118015","vsts-build-task"
"7816373","Kevin","2017-08-02 21:51:07","Boston","45445180","7979","matplotlib"
"283296","Amelio Vazquez-Reina","2017-05-16 21:54:25","Boston","25676145","16","python"
"456564","German Attanasio","2017-04-30 21:17:17","Boston, Massachusetts","33127958","22843","speech-to-text"
"4400697","nmusleh","2017-11-15 17:39:59","Boston","45130392","33388","amazon-web-services"
"7816373","Kevin","2017-08-02 21:51:07","Boston","45445180","16","python"
"741099","Nyxynyx","2017-04-01 12:33:04","Boston","43155211","997","plot"
"7578055","Gregory Palermo","2017-02-17 04:09:45","Boston","42287348","67746","rstudio"
"4179866","giuseppe","2017-09-29 09:39:32","Boston","26663573","7003","objective-c"
"1406210","Lance McCarthy","2017-02-02 23:36:27","Boston","40921005","9","c#"
"1406210","Lance McCarthy","2017-02-02 23:36:27","Boston","40921005","104707","xamarin.forms"
"456564","German Attanasio","2017-09-09 22:31:39","Boston, Massachusetts","46095284","99726","ibm-watson"
"741099","Nyxynyx","2017-07-20 01:28:29","Boston","33862317","112972","nolearn"
"741099","Nyxynyx","2017-07-26 14:54:38","Boston","20708442","820","jquery"
"2415684","jenesaisquoi","2017-08-30 09:39:24","Boston","33141630","1508","json"
"564157","Joseph Lust","2017-08-22 17:51:29","Boston","45548924","7965","jet"
"741099","Nyxynyx","2017-05-03 15:36:56","Boston","43713170","1508","json"
"1085186","StackFlowed","2017-03-23 15:52:45","Boston","32720476","8945","intellij-idea"
"283296","Amelio Vazquez-Reina","2017-07-12 14:58:45","Boston","12944214","17711","cscope"
"456564","German Attanasio","2017-04-30 20:15:09","Boston, Massachusetts","43479761","99726","ibm-watson"
"3148025","bradnoble","2017-02-03 18:37:44","Boston","42015025","67404","tableau"
"741099","Nyxynyx","2017-05-23 14:21:50","Boston","6470267","3988","codeigniter"
"4266578","Anthony S.","2017-12-11 19:04:55","Boston, Massachusetts","47757473","9","c#"
"741099","Nyxynyx","2017-12-28 21:39:10","Boston","46144735","112292","ethereum"
"7465863","Alex M","2017-01-26 07:02:49","Boston","41838619","369","macos"
"1731862","Ankur Shanbhag","2017-12-26 23:19:36","Boston, Massachusetts","18144820","343","collections"
"3201696","ajmajmajma","2017-07-31 21:50:45","Boston","45420183","4","css"
"456564","German Attanasio","2017-10-30 19:45:04","Boston, Massachusetts","38568584","9393","text-to-speech"
"283296","Amelio Vazquez-Reina","2017-01-13 07:11:48","Boston","41628516","12271","combinatorics"
"741099","Nyxynyx","2017-10-26 22:40:05","Boston","16453644","81490","scikit-learn"
"456564","German Attanasio","2017-10-30 19:45:04","Boston, Massachusetts","38568584","99726","ibm-watson"
"741099","Nyxynyx","2017-11-21 10:34:49","Boston","9719302","3988","codeigniter"
"2285240","Ian Steffy","2017-11-21 17:34:44","Boston","47397172","33953","visual-studio"
"2146187","Philipp Werminghausen","2017-05-13 21:07:38","Boston","38467200","99715","gulp"
"283296","Amelio Vazquez-Reina","2017-08-10 16:18:07","Boston","14635299","5133","breakpoints"
"1508105","Alex Johnson","2017-02-28 19:20:49","Boston","42516831","4506","canvas"
"179205","Abby Fichtner","2017-09-18 06:50:43","Boston","32081685","1731","cygwin"
"741099","Nyxynyx","2017-03-31 22:32:20","Boston","33749965","106818","apache-spark-sql"
"179205","Abby Fichtner","2017-09-18 06:50:43","Boston","32081685","119","git"
"741099","Nyxynyx","2017-08-05 22:12:41","Boston","45526778","106076","lmdb"
"2146187","Philipp Werminghausen","2017-05-13 21:07:38","Boston","38467200","47993","graphicsmagick"
"456564","German Attanasio","2017-05-11 16:15:14","Boston, Massachusetts","43464805","99726","ibm-watson"
"456564","German Attanasio","2017-11-17 17:11:23","Boston, Massachusetts","47354439","99726","ibm-watson"
"3798657","rubicks","2017-10-18 21:02:37","Boston","46806762","119","git"
"3054619","mrlindsey","2017-02-10 19:06:08","Boston","42165059","51869","capybara"
"2285240","Ian Steffy","2017-07-31 11:43:27","Boston","45414074","121169","angular-components"
"6286412","MTL-VRN","2017-11-30 02:58:02","Boston","47564993","28981","comparator"
"741099","Nyxynyx","2017-10-01 14:31:44","Boston","25898784","102684","meteor-blaze"
"741099","Nyxynyx","2017-12-18 21:43:49","Boston","47876517","137","oop"
"8168266","Yihao Hu","2017-06-22 20:34:06","Boston","44708400","965","plugins"
"456564","German Attanasio","2017-05-08 13:51:12","Boston, Massachusetts","39394009","9393","text-to-speech"
"3201696","ajmajmajma","2017-03-25 21:22:57","Boston","43021737","4","css"
"3201696","ajmajmajma","2017-03-25 21:22:57","Boston","43021737","69969","css-animations"
"1181897","Riskbreaker","2017-02-21 16:18:55","Boston","13482652","820","jquery"
"456564","German Attanasio","2017-05-08 13:51:12","Boston, Massachusetts","39394009","99726","ibm-watson"
"2517719","Floegipoky","2017-06-14 17:57:02","Boston","22470193","15627","go"
"7179412","Nil","2017-10-22 14:29:41","Boston","46848235","101972","jsonlite"
"3299113","iMickyRich","2017-09-10 16:44:45","Boston","27369269","369","macos"
"1335035","Magn3s1um","2017-08-15 04:16:10","Boston","18003253","1",".net"
"3299113","iMickyRich","2017-09-10 16:44:45","Boston","27369269","91905","android-studio"
"456564","German Attanasio","2017-04-03 01:41:57","Boston, Massachusetts","40391114","63174","alchemyapi"
"1335035","Magn3s1um","2017-08-15 04:16:10","Boston","18003253","9","c#"
"283296","Amelio Vazquez-Reina","2017-04-30 15:00:13","Boston","21558855","8945","intellij-idea"
"4400697","nmusleh","2017-11-15 17:39:59","Boston","45130392","72602","django-compressor"
"456564","German Attanasio","2017-11-05 14:54:20","Boston, Massachusetts","32163749","99726","ibm-watson"
"456564","German Attanasio","2017-04-30 21:17:17","Boston, Massachusetts","33127958","99726","ibm-watson"
"456564","German Attanasio","2017-04-03 01:41:57","Boston, Massachusetts","40391114","99726","ibm-watson"
"2517719","Floegipoky","2017-06-14 17:57:02","Boston","22470193","7932","exec"
"1508105","Alex Johnson","2017-02-28 19:20:49","Boston","42516831","3","javascript"
"741099","Nyxynyx","2017-07-25 07:52:13","Boston","16376159","4190","numpy"
"741099","Nyxynyx","2017-07-25 07:52:13","Boston","16376159","59047","python-2.7"
"2415684","jenesaisquoi","2017-12-14 14:01:00","Boston","36108705","3","javascript"
"741099","Nyxynyx","2017-04-26 21:15:03","Boston","41354999","3","javascript"
"2415684","jenesaisquoi","2017-08-02 09:35:18","Boston","45452115","9780","type-conversion"
"283296","Amelio Vazquez-Reina","2017-11-06 18:09:13","Boston","27517425","67719","pandas"
"1508105","Alex Johnson","2017-02-28 19:20:49","Boston","42516831","70310","html5-canvas"
"741099","Nyxynyx","2017-04-26 21:15:03","Boston","41354999","92497","reactjs"
"1508105","Alex Johnson","2017-02-28 19:20:49","Boston","42516831","119423","pixijs"
"283296","Amelio Vazquez-Reina","2017-08-10 16:18:07","Boston","14635299","277","debugging"
"741099","Nyxynyx","2017-03-31 22:32:20","Boston","33749965","59047","python-2.7"
"283296","Amelio Vazquez-Reina","2017-05-11 15:37:17","Boston","6719972","854","matlab"
"283296","Amelio Vazquez-Reina","2017-05-11 15:37:17","Boston","6719972","110","ide"
"741099","Nyxynyx","2017-04-26 21:15:03","Boston","41354999","121383","react-native-router-flux"
"3201696","ajmajmajma","2017-03-25 21:22:57","Boston","43021737","2","html"
"741099","Nyxynyx","2017-09-20 11:17:11","Boston","8058905","3","javascript"
"3201696","ajmajmajma","2017-04-11 18:13:06","Boston","34438540","3","javascript"
"2285240","Ian Steffy","2017-07-31 11:43:27","Boston","45414074","3","javascript"
"6286412","MTL-VRN","2017-11-30 02:58:02","Boston","47564993","17","java"
"1888954","Phillip Huff","2017-05-17 17:20:28","Boston","43983897","56129","amazon-emr"
"1443481","Stuart","2017-02-03 14:17:45","Boston","42013783","59148","rust"
"2517719","Floegipoky","2017-07-18 21:04:56","Boston","44784258","17","java"
"2415684","jenesaisquoi","2017-07-08 21:43:54","Boston","34691188","13613","package"
"1085186","StackFlowed","2017-06-14 19:10:58","Boston","32659386","17","java"
"741099","Nyxynyx","2017-05-19 14:33:42","Boston","43708795","3","javascript"
"741099","Nyxynyx","2017-06-14 00:01:13","Boston","44524095","92497","reactjs"
"2517719","Floegipoky","2017-07-18 21:04:56","Boston","44784258","108024","google-cloud-dataflow"
"741099","Nyxynyx","2017-01-11 10:22:19","Boston","12112188","1866","solr"
"1181897","Riskbreaker","2017-02-21 16:18:55","Boston","13482652","3","javascript"
"741099","Nyxynyx","2017-10-01 14:31:44","Boston","25898784","3","javascript"
"3201696","ajmajmajma","2017-03-25 21:22:57","Boston","43021737","1065","animation"
"741099","Nyxynyx","2017-01-11 02:02:46","Boston","39856084","59047","python-2.7"
"741099","Nyxynyx","2017-06-14 00:01:13","Boston","44524095","3","javascript"
"8168266","Yihao Hu","2017-06-22 20:34:06","Boston","44708400","3","javascript"
"3201696","ajmajmajma","2017-04-11 18:13:06","Boston","34438540","92497","reactjs"
"741099","Nyxynyx","2017-01-11 10:22:19","Boston","12112188","4956","centos"
"2415684","jenesaisquoi","2017-07-08 21:43:54","Boston","34691188","7187","devtools"
"741099","Nyxynyx","2017-01-11 02:02:46","Boston","39856084","12008","traveling-salesman"
"283296","Amelio Vazquez-Reina","2017-08-10 01:59:40","Boston","17977540","67719","pandas"
"2285240","Ian Steffy","2017-07-28 13:24:41","Boston","45371831","3","javascript"
"283296","Amelio Vazquez-Reina","2017-05-16 21:54:25","Boston","25676145","20400","scipy"
"741099","Nyxynyx","2017-04-23 21:07:41","Boston","43574757","54400","python-multithreading"
"283296","Amelio Vazquez-Reina","2017-09-08 01:47:17","Boston","33657017","99284","seaborn"
"7816373","Kevin","2017-08-02 21:51:07","Boston","45445180","67719","pandas"
"741099","Nyxynyx","2017-05-09 09:16:17","Boston","42635809","3","javascript"
"4400697","nmusleh","2017-11-15 17:39:59","Boston","45130392","3","javascript"
"1335035","Magn3s1um","2017-10-19 15:36:36","Boston","46736978","116537","vsts"
"7436139","vanegeek","2017-10-05 20:52:03","Boston","46592592","92497","reactjs"
"741099","Nyxynyx","2017-04-23 21:07:41","Boston","43574757","6159","pyqt"
"283296","Amelio Vazquez-Reina","2017-04-30 15:00:13","Boston","21558855","17","java"
"283296","Amelio Vazquez-Reina","2017-09-08 01:47:17","Boston","33657017","67719","pandas"
"741099","Nyxynyx","2017-04-23 21:07:41","Boston","43574757","59047","python-2.7"
"741099","Nyxynyx","2017-05-03 15:37:23","Boston","43743286","59047","python-2.7"
"3299113","iMickyRich","2017-09-10 16:44:45","Boston","27369269","17","java"
"8882929","Jiou","2017-11-03 21:17:11","Boston","47104404","3","javascript"
"3299113","iMickyRich","2017-09-10 16:44:45","Boston","27369269","110","ide"
"741099","Nyxynyx","2017-06-01 09:35:19","Boston","10045022","22","sql"
"3201696","ajmajmajma","2017-10-07 02:03:25","Boston","46614623","110151","babeljs"
"8168266","Yihao Hu","2017-06-23 21:02:28","Boston","44729709","3600","google-chrome"
"2816869","f1lt3r","2017-11-19 16:48:28","Boston","47363268","88190","sublimetext3"
"2085528","Praneeth Puligundla","2017-02-07 09:19:54","Boston","30805417","86342","coverity"
"8489616","Jerry Tiller","2017-08-21 10:36:14","Boston","45778214","5187","class"
"741099","Nyxynyx","2017-07-20 01:28:29","Boston","33862317","112966","lasagne"
"741099","Nyxynyx","2017-07-26 14:54:38","Boston","20708442","1326","svg"
"1085186","StackFlowed","2017-03-23 15:52:45","Boston","32720476","908","xcode"
"283296","Amelio Vazquez-Reina","2017-09-01 12:02:57","Boston","4880975","1443","mediawiki"
"741099","Nyxynyx","2017-05-03 15:36:56","Boston","43713170","45273","celery"
"741099","Nyxynyx","2017-04-02 06:57:50","Boston","9658418","3600","google-chrome"
"283296","Amelio Vazquez-Reina","2017-01-13 07:11:48","Boston","41628516","9374","mathematical-optimization"
"741099","Nyxynyx","2017-04-17 22:24:26","Boston","41105525","1819","google-maps"
"4266578","Anthony S.","2017-12-11 19:04:55","Boston, Massachusetts","47757473","40852","task-parallel-library"
"741099","Nyxynyx","2017-04-17 22:24:26","Boston","41105525","110853","react-native"
"283296","Amelio Vazquez-Reina","2017-04-20 20:48:18","Boston","43294508","125767","bambi"
"7465863","Alex M","2017-01-26 07:02:49","Boston","41838619","9013","environment-variables"
"2415684","jenesaisquoi","2017-12-12 20:16:10","Boston","6802420","348","audio"
"2415684","jenesaisquoi","2017-03-04 21:45:54","Boston","42601445","34419","ess"
"2146187","Philipp Werminghausen","2017-05-13 21:07:38","Boston","38467200","6941","image-processing"
"1661569","toxotes","2017-08-24 01:30:42","Boston","10469206","85166","mezzanine"
"1335035","Magn3s1um","2017-10-26 14:53:22","Boston","46957410","116226","kestrel-http-server"
"3798657","rubicks","2017-10-18 21:02:37","Boston","46806762","64999","jenkins"
"741099","Nyxynyx","2017-11-25 20:23:01","Boston","47489983","79999","momentjs"
"7816373","Kevin","2017-08-12 17:17:12","Boston","45652835","46457","dataframe"
"741099","Nyxynyx","2017-11-21 10:34:49","Boston","9719302","11444","amazon-s3"
"283296","Amelio Vazquez-Reina","2017-06-01 05:09:15","Boston","22284502","82977","statsmodels"
"741099","Nyxynyx","2017-04-26 21:15:03","Boston","41354999","110853","react-native"
"2760846","Charles Walker","2017-10-10 19:36:39","Boston","46656961","86394","ansible"
"2517719","Floegipoky","2017-08-24 00:33:37","Boston","34009064","391","terminal"
"1508105","Alex Johnson","2017-02-28 19:20:49","Boston","42516831","78386","paperjs"
"2415684","jenesaisquoi","2017-06-14 20:58:18","Boston","32301813","85748","shiny"
"2415684","jenesaisquoi","2017-12-14 14:01:00","Boston","36108705","85748","shiny"
"2415684","jenesaisquoi","2017-09-26 13:06:42","Boston","46397168","390","shell"
"741099","Nyxynyx","2017-01-11 02:02:46","Boston","39856084","73190","gurobi"
"2415684","jenesaisquoi","2017-12-20 15:27:55","Boston","47892942","34419","ess"
"741099","Nyxynyx","2017-01-11 10:22:19","Boston","12112188","982","timezone"
"8168266","Yihao Hu","2017-06-22 20:34:06","Boston","44708400","3600","google-chrome"
"1888954","Phillip Huff","2017-05-17 17:20:28","Boston","43983897","1995","hadoop"
"741099","Nyxynyx","2017-05-19 14:33:42","Boston","43708795","45273","celery"
"7436139","vanegeek","2017-10-05 20:52:03","Boston","46592592","1292","static"
"7816373","Kevin","2017-08-02 21:51:07","Boston","45445180","46457","dataframe"
"7179412","Nil","2017-10-22 14:29:41","Boston","46848235","46457","dataframe"
"283296","Amelio Vazquez-Reina","2017-05-16 21:54:25","Boston","25676145","82977","statsmodels"
"3299113","iMickyRich","2017-09-10 16:44:45","Boston","27369269","1386","android"
"741099","Nyxynyx","2017-05-03 15:37:23","Boston","43743286","45273","celery"